case_id	item_id	title	forecast_gap_pct	board_deadline_hours	cross_team_dependency	exec_visibility	revenue_impact	reviewer_rank	reviewer_rationale
2018-07_household_utilities	ae7ab174effdead6c241e547e4ca13f0_2018-07	household_utilities seller ae7ab174 2018-07 revenue 1612.90 origin organic_search state PR	10	482	3	1	5		
2018-07_household_utilities	9261d76c62caaf0b24677c2ceb7f8f20_2018-07	household_utilities seller 9261d76c 2018-07 revenue 843.72 origin unknown state SC	9	639	3	1	5		
2018-07_household_utilities	382229d1e840115ffe3dbf5ff460e417_2018-07	household_utilities seller 382229d1 2018-07 revenue 1608.73 origin organic_search state RJ	10	700	3	1	5		
2018-07_household_utilities	65febd49fd28ec955651299159b1f527_2018-07	household_utilities seller 65febd49 2018-07 revenue 1081.93 origin organic_search state SP	10	720	3	1	5		
2018-08_household_utilities	65febd49fd28ec955651299159b1f527_2018-08	household_utilities seller 65febd49 2018-08 revenue 1341.95 origin organic_search state SP	10	631	4	1	5		
2018-08_household_utilities	382229d1e840115ffe3dbf5ff460e417_2018-08	household_utilities seller 382229d1 2018-08 revenue 816.66 origin organic_search state RJ	9	706	4	1	5		
2018-08_household_utilities	4c18691b6037662be2df78a765d98ab5_2018-08	household_utilities seller 4c18691b 2018-08 revenue 551.00 origin unknown state SP	9	720	4	1	4		
2018-08_household_utilities	671585f5a2af58b6e276bc01003c0d2b_2018-08	household_utilities seller 671585f5 2018-08 revenue 1159.00 origin social state PR	9	688	3	1	5		
2018-07_health_beauty	dbdd0ec73a4817971d962698f2fea022_2018-07	health_beauty seller dbdd0ec7 2018-07 revenue 2394.00 origin direct_traffic state CE	10	633	4	1	5		
2018-07_health_beauty	c70c1b0d8ca86052f45a432a38b73958_2018-07	health_beauty seller c70c1b0d 2018-07 revenue 7738.50 origin paid_search state SP	10	681	4	1	5		
2018-07_health_beauty	b494891378bd8f4560abe576c52deacd_2018-07	health_beauty seller b4948913 2018-07 revenue 852.40 origin organic_search state SP	9	720	4	1	5		
2018-07_health_beauty	a63bfbaa882c8f4542891b4e2246cc7f_2018-07	health_beauty seller a63bfbaa 2018-07 revenue 3288.00 origin referral state RJ	10	438	3	1	5		
2018-07_home_decor	dfa0c4c6229ab200a4a1336b4d7128ff_2018-07	home_decor seller dfa0c4c6 2018-07 revenue 839.00 origin paid_search state SC	9	720	5	1	5		
2018-07_home_decor	3ab971ce71839580d2ae5b4e40fe8044_2018-07	home_decor seller 3ab971ce 2018-07 revenue 1605.40 origin organic_search state SP	10	720	4	1	5		
2018-07_home_decor	4bfc7a4a1cf8d4d2121c27422d9e50b5_2018-07	home_decor seller 4bfc7a4a 2018-07 revenue 3137.40 origin paid_search state SP	10	700	3	1	5		
2018-07_home_decor	5b0cc932433fa5184b5b94bfe6bcc256_2018-07	home_decor seller 5b0cc932 2018-07 revenue 809.80 origin social state SP	9	370	3	1	5		
2018-08_home_decor	dfa0c4c6229ab200a4a1336b4d7128ff_2018-08	home_decor seller dfa0c4c6 2018-08 revenue 1621.40 origin paid_search state SC	9	708	5	1	5		
2018-08_home_decor	3ab971ce71839580d2ae5b4e40fe8044_2018-08	home_decor seller 3ab971ce 2018-08 revenue 1433.60 origin organic_search state SP	9	659	4	1	5		
2018-08_home_decor	04843805947f0fc584fc1969b6e50fe7_2018-08	home_decor seller 04843805 2018-08 revenue 1400.00 origin social state RS	9	634	3	1	5		
2018-08_home_decor	165b1235e9e9942cb5fae67103576fb0_2018-08	home_decor seller 165b1235 2018-08 revenue 1102.45 origin paid_search state SP	9	603	3	1	5		
2018-06_health_beauty	f46490624488d3ff7ce78613913a7711_2018-06	health_beauty seller f4649062 2018-06 revenue 2451.69 origin other state SP	10	561	5	1	5		
2018-06_health_beauty	c70c1b0d8ca86052f45a432a38b73958_2018-06	health_beauty seller c70c1b0d 2018-06 revenue 9674.21 origin paid_search state SP	10	701	4	1	5		
2018-06_health_beauty	516e7738bd8f735ac19a010ee5450d8d_2018-06	health_beauty seller 516e7738 2018-06 revenue 3030.19 origin paid_search state RJ	10	697	3	1	5		
2018-06_health_beauty	5670f4db5b62c43d542e1b2d56b0cf7c_2018-06	health_beauty seller 5670f4db 2018-06 revenue 2135.59 origin paid_search state SP	10	706	3	1	5		
2018-06_household_utilities	33dd941c27854f7625b968cc6195a552_2018-06	household_utilities seller 33dd941c 2018-06 revenue 2755.00 origin email state ES	10	338	3	1	5		
2018-06_household_utilities	556a6409838156ea299c9d1f9e2dde43_2018-06	household_utilities seller 556a6409 2018-06 revenue 898.00 origin paid_search state PR	10	278	3	1	5		
2018-06_household_utilities	fcdd820084f17e9982427971e4e9d47f_2018-06	household_utilities seller fcdd8200 2018-06 revenue 1330.00 origin unknown state SP	10	610	2	1	5		
2018-06_household_utilities	65febd49fd28ec955651299159b1f527_2018-06	household_utilities seller 65febd49 2018-06 revenue 1224.90 origin organic_search state SP	10	658	3	1	5		
2018-08_health_beauty	c70c1b0d8ca86052f45a432a38b73958_2018-08	health_beauty seller c70c1b0d 2018-08 revenue 6300.89 origin paid_search state SP	10	720	5	1	5		
2018-08_health_beauty	f46490624488d3ff7ce78613913a7711_2018-08	health_beauty seller f4649062 2018-08 revenue 1930.76 origin other state SP	10	720	5	1	5		
2018-08_health_beauty	ca4b77513ac2040591b0d8fae6958380_2018-08	health_beauty seller ca4b7751 2018-08 revenue 1344.66 origin social state SP	10	708	4	1	5		
2018-08_health_beauty	a63bfbaa882c8f4542891b4e2246cc7f_2018-08	health_beauty seller a63bfbaa 2018-08 revenue 1196.00 origin referral state RJ	10	317	3	1	5		
2018-06_home_decor	3ab971ce71839580d2ae5b4e40fe8044_2018-06	home_decor seller 3ab971ce 2018-06 revenue 1963.90 origin organic_search state SP	10	655	4	1	5		
2018-06_home_decor	dfa0c4c6229ab200a4a1336b4d7128ff_2018-06	home_decor seller dfa0c4c6 2018-06 revenue 1280.80 origin paid_search state SC	10	677	4	1	5		
2018-06_home_decor	4a1f694197d05fe70026b016a7316b41_2018-06	home_decor seller 4a1f6941 2018-06 revenue 380.90 origin paid_search state SP	8	675	4	1	4		
2018-06_home_decor	4bfc7a4a1cf8d4d2121c27422d9e50b5_2018-06	home_decor seller 4bfc7a4a 2018-06 revenue 1032.90 origin paid_search state SP	10	342	1	1	5		
2018-08_construction_tools_house_garden	c004e5ea15737026cecaee0447e00b75_2018-08	construction_tools_house_garden seller c004e5ea 2018-08 revenue 4700.00 origin paid_search state SP	10	613	4	1	5		
